,Lasso,Ridge,LogReg,KNN,SVM,LDA,RFC,RFR,NB,LSAKNN
Set1,0.439252336449,0.478504672897,0.467289719626,0.497196261682,0.383177570093,0.48785046729,0.510280373832,0.484112149533,0.38691588785,0.371962616822
Set2,0.624074074074,0.65,0.633333333333,0.609259259259,0.437037037037,0.633333333333,0.664814814815,0.661111111111,0.527777777778,0.527777777778
Set3,0.644787644788,0.650579150579,0.656370656371,0.592664092664,0.494208494208,0.689189189189,0.675675675676,0.675675675676,0.486486486486,0.343629343629
Set4,0.586466165414,0.65037593985,0.627819548872,0.56954887218,0.539473684211,0.65037593985,0.622180451128,0.637218045113,0.507518796992,0.483082706767
Set5,0.675276752768,0.682656826568,0.654981549815,0.621771217712,0.533210332103,0.654981549815,0.675276752768,0.677121771218,0.433579335793,0.431734317343
Set6,0.561111111111,0.611111111111,0.587037037037,0.546296296296,0.462962962963,0.62037037037,0.638888888889,0.611111111111,0.501851851852,0.427777777778
Set7,0.138004246285,0.11889596603,0.227176220807,0.116772823779,0.131634819533,0.197452229299,0.182590233546,0.154989384289,0.138004246285,0.0934182590234
Set8,0.115207373272,0.073732718894,0.248847926267,0.133640552995,0.248847926267,0.179723502304,0.281105990783,0.0829493087558,0.248847926267,0.179723502304
